Brand,StoreName,Latitude,Longitude,Address
McDonald's,McDonald's AEON Taman University,1.5431173,103.6290399,"LG08, Jusco Shopping Center, No. 4, Jalan Pendidikan, Taman Universiti, 81300, Skudai, Johor, Malaysia"
McDonald's,McDonald's Bandar Sri Damansara DT,3.1920845,101.6166547,"Lot PT21552 & PT21553, Mukim Sungai Buloh, Persiaran Perdana, 52200, Bandar Sri Damansara, Kuala Lumpur, Malaysia"
McDonald's,McDonald's Petronas Skudai DT,1.5008013,103.6958538,"Lot No. PTD13309 & PTD52136, KM11 Jalan Skudai, Mukim Tebrau, 81200, Johor Bahru, Johor, Malaysia"
McDonald's,McDonald's Pandan Mewah DT,3.1281168,101.762852,"Bangunan Restoran McDonald's, Jalan Mewah Utara, 68000, Ampang, Kuala Lumpur, Malaysia"
McDonald's,McDonald's Puchong Permai DT,3.0091742,101.5995801,"Lot 32426 Jalan Puchong Permai 2, Taman Puchong Permai, 47100, Puchong, Selangor, Malaysia"
McDonald's,McDonald's Setiawangsa DT,3.221696,101.687002,"Lot 16794 & 16795, Jalan 37/56, Taman Setiawangsa, 54200, Kuala Lumpur, Malaysia"
McDonald's,McDonald's Juru DT,5.33739,100.4311598,"No. 1689, Jalan Perusahaan, Highway Auto City, Kawasan Perusahaan 4, North-South Highway, Juru Interchange, MK 11, Seberang Perai Tengah Perai 4, 13600, Perai, Pulau Pinang."
McDonald's,McDonald's Berjaya Times Square,3.1423835,101.7096766,"Lot 05-93, 93A, No. 1, Jalan Imbi, 55100, Kuala Lumpur, Malaysia"
McDonald's,McDonald's Sri Kerteh DT,4.538693299999999,103.4280586,"Lot PT 7132, Mukim Kerteh, 24300, Daerah Kemaman, Terengganu, Malaysia"
McDonald's,McDonald's Kota Damansara DT,3.1604567,101.5741986,"Lot B, Jalan Cecawi 6/18A, Kota Damansara, 47810, Petaling Jaya, Selangor, Malaysia"
McDonald's,McDonald's Kota Kemuning DT,3.0051942,101.5376266,"No. 1, Jalan Anggerik Vanilla 31/94, Seksyen 31, Kota Kemuning, 40706, Shah Alam."
McDonald's,McDonald's Karamunsing,5.9668799,116.0720474,"Lot G - 21,23,25 and 26 part, Complex Karamunsing, Jalan Karamunsing, 88000, Kota Kinabalu, Sabah, Malaysia"
McDonald's,McDonald's Caltex Sunway Prai DT,5.4064035,100.3927392,"Lot Nos. 5730, 5731 & 5732, Jalan Jelawat, Mukim 1, Pusat Bandar Seberang Jaya, 13700, Prai, Pulau Pinang, Malaysia"
McDonald's,McDonald's Kuchai Lama DT,3.0870152,101.693757,"1/116B, Off Jalan Kuchai Lama, Kuchai Entrepreneurs Park, 58200, Kuala Lumpur, Malaysia"
McDonald's,McDonald's Taman Connaught DT,2.9664823,101.7284134,"Lot 18113, Jalan Cendikiawan, 55100, Mukim Petaling, Kuala Lumpur, Malaysia"
McDonald's,McDonald's Bukit Tinggi DT,3.0101189,101.4328026,"Lot 1, Persiaran Batu Nilam, Bandar Baru Bukit Tinggi, 41200, Klang, Selangor, Malaysia"
McDonald's,McDonald's Damansara Damai DT,3.1949498,101.591391,"Lot 36327, Jalan PJU 10/1, Damansara Damai, 47000, Sungai Buloh, Selangor, Malaysia"
McDonald's,McDonald's Pelangi Indah DT,1.5782418,103.7969315,"Petronas Petrol Station, Lot No.105615, Jalan Pesona, Taman Pelangi Indah, 81800, Johor Bahru, Johor, Malaysia"
